district,zone,lat,lon,ghi_2005,ghi_2023,pct_change
Rukum_East,Mid-West Hills,28.63,82.63,1687.6,1611.7,-4.5
Solukhumbu,Central Hills,27.68,86.6,1727.2,1657.7,-4.03
Dolpa,High Mountain,29.05,82.8,1881.1,1809.1,-3.83
Bajura,Far-West Hills,29.43,81.52,1697.0,1635.1,-3.65
Parbat,Western Hills,28.38,83.66,1594.6,1536.9,-3.62
Sindhupalchok,Central Hills,27.95,85.68,1595.9,1541.2,-3.42
Baglung,Western Hills,28.27,83.59,1685.6,1628.2,-3.4
Rukum_West,Mid-West Hills,28.87,82.37,1685.2,1628.4,-3.37
Mustang,High Mountain,28.98,83.85,2075.1,2007.3,-3.27
Kalikot,Mid-West Hills,29.13,81.62,1733.6,1677.3,-3.25
Jumla,High Mountain,29.27,82.18,1875.1,1814.8,-3.22
Manang,High Mountain,28.67,84.02,1868.0,1807.9,-3.22
Jajarkot,Mid-West Hills,28.7,82.23,1776.9,1720.1,-3.2
Myagdi,Western Hills,28.47,83.58,1543.5,1496.2,-3.07
Achham,Far-West Hills,29.1,81.2,1651.2,1600.8,-3.05
Rasuwa,Central Hills,28.1,85.37,1781.0,1726.8,-3.04
Dolakha,Central Hills,27.67,86.08,1712.1,1663.3,-2.85
Dailekh,Mid-West Hills,28.85,81.72,1788.0,1737.1,-2.85
Salyan,Mid-West Hills,28.37,82.17,1690.1,1642.3,-2.83
Bajhang,Far-West Hills,29.57,81.23,1518.9,1479.1,-2.62
Pyuthan,Mid-West Hills,28.1,82.87,1738.2,1693.6,-2.57
Doti,Far-West Hills,29.27,81.05,1644.4,1602.3,-2.56
Rolpa,Mid-West Hills,28.23,82.65,1662.4,1620.3,-2.53
Nuwakot,Central Hills,27.92,85.17,1712.2,1669.4,-2.5
Darchula,Far-West Hills,29.85,80.55,1704.1,1661.5,-2.5
Lamjung,Western Hills,28.2,84.4,1679.8,1638.2,-2.47
Kailali,Far-West Terai,28.77,80.87,1787.7,1743.7,-2.46
Surkhet,Mid-West Hills,28.6,81.62,1805.5,1762.0,-2.41
Kaski,Western Hills,28.22,84.0,1685.9,1645.4,-2.4
Gulmi,Western Hills,28.08,83.26,1622.5,1584.5,-2.34
Dang,Inner Terai,28.1,82.3,1854.8,1812.1,-2.3
Kavrepalanchok,Central Hills,27.53,85.55,1656.8,1619.3,-2.26
Okhaldhunga,Central Hills,27.31,86.5,1606.0,1570.0,-2.24
Dadeldhura,Far-West Hills,29.3,80.58,1717.4,1679.6,-2.2
Kanchanpur,Far-West Terai,29.14,80.27,1787.9,1749.2,-2.17
Lalitpur,Central Hills,27.67,85.32,1722.3,1686.0,-2.11
Bhaktapur,Central Hills,27.67,85.43,1722.9,1686.6,-2.11
Kathmandu,Central Hills,27.72,85.32,1722.8,1686.5,-2.11
Bardiya,Mid-West Terai,28.35,81.26,1850.8,1812.1,-2.09
Baitadi,Far-West Hills,29.55,80.42,1718.7,1684.1,-2.02
Dhading,Central Hills,27.87,84.9,1703.7,1669.9,-1.99
Banke,Mid-West Terai,28.05,81.62,1863.4,1826.4,-1.99
Sankhuwasabha,Eastern Mountain,27.35,87.27,1685.4,1652.3,-1.97
Gorkha,Central Hills,28.0,84.63,1654.7,1626.0,-1.73
Taplejung,Eastern Hills,27.35,87.67,1594.2,1568.6,-1.6
Mugu,High Mountain,29.55,82.37,1730.4,1703.0,-1.59
Humla,High Mountain,29.97,82.15,1756.6,1729.9,-1.52
Syangja,Western Hills,27.95,83.88,1687.1,1663.2,-1.41
Tanahun,Western Hills,27.92,84.25,1696.5,1673.7,-1.35
Palpa,Western Hills,27.87,83.54,1739.9,1716.6,-1.34
Ramechhap,Eastern Hills,27.33,86.08,1689.5,1667.2,-1.32
Arghakhanchi,Western Hills,27.97,83.17,1728.6,1708.5,-1.16
Khotang,Eastern Hills,27.02,86.83,1602.4,1584.1,-1.15
Bhojpur,Eastern Hills,27.17,87.05,1644.0,1628.5,-0.94
Nawalpur,Inner Terai,27.69,84.13,1751.6,1735.8,-0.9
Chitwan,Western Terai,27.53,84.35,1749.5,1734.1,-0.88
Parasi,Western Terai,27.57,83.7,1786.6,1771.4,-0.85
Kapilvastu,Western Terai,27.57,83.05,1836.6,1822.2,-0.78
Makwanpur,Central Hills,27.42,85.0,1781.0,1767.1,-0.78
Rupandehi,Western Terai,27.57,83.45,1813.7,1799.7,-0.77
Dhankuta,Eastern Hills,27.09,87.35,1622.0,1611.3,-0.66
Panchthar,Eastern Hills,27.15,87.8,1554.0,1545.1,-0.57
Terhathum,Eastern Hills,27.12,87.53,1614.6,1606.2,-0.52
Parsa,Madhesh Terai,27.13,84.98,1833.3,1824.7,-0.47
Bara,Madhesh Terai,27.0,85.0,1850.3,1848.0,-0.12
Sarlahi,Madhesh Terai,27.1,85.55,1794.2,1796.9,0.15
Sindhuli,Central Hills,27.25,85.97,1702.3,1705.7,0.2
Rautahat,Madhesh Terai,27.0,85.3,1839.5,1844.2,0.25
Mahottari,Madhesh Terai,26.91,85.73,1822.0,1830.0,0.44
Dhanusha,Madhesh Terai,26.87,85.93,1796.8,1805.5,0.48
Udayapur,Eastern Hills,26.93,86.53,1658.1,1667.7,0.58
Sunsari,Eastern Terai,26.8,87.18,1639.0,1649.1,0.62
Siraha,Eastern Terai,26.65,86.19,1785.2,1799.6,0.81
Ilam,Eastern Hills,26.91,87.92,1604.3,1621.4,1.06
Saptari,Madhesh Terai,26.59,86.73,1713.2,1739.7,1.55
Morang,Eastern Terai,26.67,87.3,1669.5,1703.2,2.02
Jhapa,Eastern Terai,26.6,87.92,1632.5,1672.8,2.47
