location,zone,year,GHI_annual
Achham,Far-West Hills,2005,1651.19
Achham,Far-West Hills,2006,1623.1399999999999
Achham,Far-West Hills,2007,1558.15
Achham,Far-West Hills,2008,1579.06
Achham,Far-West Hills,2009,1693.24
Achham,Far-West Hills,2010,1651.06
Achham,Far-West Hills,2011,1570.68
Achham,Far-West Hills,2012,1655.14
Achham,Far-West Hills,2013,1546.92
Achham,Far-West Hills,2014,1641.3
Achham,Far-West Hills,2015,1615.1
Achham,Far-West Hills,2016,1582.33
Achham,Far-West Hills,2017,1587.98
Achham,Far-West Hills,2018,1596.36
Achham,Far-West Hills,2019,1593.7
Achham,Far-West Hills,2020,1563.61
Achham,Far-West Hills,2021,1537.73
Achham,Far-West Hills,2022,1603.05
Achham,Far-West Hills,2023,1600.8
Arghakhanchi,Western Hills,2005,1728.57
Arghakhanchi,Western Hills,2006,1700.26
Arghakhanchi,Western Hills,2007,1602.21
Arghakhanchi,Western Hills,2008,1632.65
Arghakhanchi,Western Hills,2009,1733.34
Arghakhanchi,Western Hills,2010,1689.6
Arghakhanchi,Western Hills,2011,1644.26
Arghakhanchi,Western Hills,2012,1750.08
Arghakhanchi,Western Hills,2013,1583.99
Arghakhanchi,Western Hills,2014,1665.27
Arghakhanchi,Western Hills,2015,1642.95
Arghakhanchi,Western Hills,2016,1601.91
Arghakhanchi,Western Hills,2017,1620.92
Arghakhanchi,Western Hills,2018,1647.62
Arghakhanchi,Western Hills,2019,1640.56
Arghakhanchi,Western Hills,2020,1551.84
Arghakhanchi,Western Hills,2021,1546.69
Arghakhanchi,Western Hills,2022,1639.31
Arghakhanchi,Western Hills,2023,1708.47
Baglung,Western Hills,2005,1685.56
Baglung,Western Hills,2006,1659.53
Baglung,Western Hills,2007,1554.67
Baglung,Western Hills,2008,1597.31
Baglung,Western Hills,2009,1700.22
Baglung,Western Hills,2010,1648.46
Baglung,Western Hills,2011,1563.06
Baglung,Western Hills,2012,1705.21
Baglung,Western Hills,2013,1547.11
Baglung,Western Hills,2014,1638.95
Baglung,Western Hills,2015,1599.1200000000001
Baglung,Western Hills,2016,1539.07
Baglung,Western Hills,2017,1590.89
Baglung,Western Hills,2018,1567.59
Baglung,Western Hills,2019,1590.77
Baglung,Western Hills,2020,1499.44
Baglung,Western Hills,2021,1480.45
Baglung,Western Hills,2022,1579.59
Baglung,Western Hills,2023,1628.19
Baitadi,Far-West Hills,2005,1718.73
Baitadi,Far-West Hills,2006,1718.35
Baitadi,Far-West Hills,2007,1640.71
Baitadi,Far-West Hills,2008,1639.15
Baitadi,Far-West Hills,2009,1798.41
Baitadi,Far-West Hills,2010,1741.06
Baitadi,Far-West Hills,2011,1621.38
Baitadi,Far-West Hills,2012,1736.8
Baitadi,Far-West Hills,2013,1621.6000000000001
Baitadi,Far-West Hills,2014,1722.1399999999999
Baitadi,Far-West Hills,2015,1682.1
Baitadi,Far-West Hills,2016,1645.63
Baitadi,Far-West Hills,2017,1654.07
Baitadi,Far-West Hills,2018,1651.74
Baitadi,Far-West Hills,2019,1681.49
Baitadi,Far-West Hills,2020,1647.1100000000001
Baitadi,Far-West Hills,2021,1620.78
Baitadi,Far-West Hills,2022,1663.05
Baitadi,Far-West Hills,2023,1684.06
Bajhang,Far-West Hills,2005,1518.8600000000001
Bajhang,Far-West Hills,2006,1506.8899999999999
Bajhang,Far-West Hills,2007,1465.85
Bajhang,Far-West Hills,2008,1477.33
Bajhang,Far-West Hills,2009,1576.61
Bajhang,Far-West Hills,2010,1537.5
Bajhang,Far-West Hills,2011,1457.91
Bajhang,Far-West Hills,2012,1512.02
Bajhang,Far-West Hills,2013,1463.97
Bajhang,Far-West Hills,2014,1515.1699999999998
Bajhang,Far-West Hills,2015,1524.23
Bajhang,Far-West Hills,2016,1484.08
Bajhang,Far-West Hills,2017,1463.29
Bajhang,Far-West Hills,2018,1474.68
Bajhang,Far-West Hills,2019,1484.5
Bajhang,Far-West Hills,2020,1470.9
Bajhang,Far-West Hills,2021,1438.48
Bajhang,Far-West Hills,2022,1495.28
Bajhang,Far-West Hills,2023,1479.09
Bajura,Far-West Hills,2005,1697.02
Bajura,Far-West Hills,2006,1677.1000000000001
Bajura,Far-West Hills,2007,1635.23
Bajura,Far-West Hills,2008,1645.82
Bajura,Far-West Hills,2009,1747.99
Bajura,Far-West Hills,2010,1705.63
Bajura,Far-West Hills,2011,1630.71
Bajura,Far-West Hills,2012,1694.22
Bajura,Far-West Hills,2013,1623.82
Bajura,Far-West Hills,2014,1715.17
Bajura,Far-West Hills,2015,1700.32
Bajura,Far-West Hills,2016,1645.09
Bajura,Far-West Hills,2017,1636.84
Bajura,Far-West Hills,2018,1656.01
Bajura,Far-West Hills,2019,1652.15
Bajura,Far-West Hills,2020,1642.3
Bajura,Far-West Hills,2021,1580.29
Bajura,Far-West Hills,2022,1667.92
Bajura,Far-West Hills,2023,1635.1499999999999
Banke,Mid-West Terai,2005,1863.3999999999999
Banke,Mid-West Terai,2006,1868.7
Banke,Mid-West Terai,2007,1782.7
Banke,Mid-West Terai,2008,1769.62
Banke,Mid-West Terai,2009,1900.6200000000001
Banke,Mid-West Terai,2010,1828.98
Banke,Mid-West Terai,2011,1818.58
Banke,Mid-West Terai,2012,1891.84
Banke,Mid-West Terai,2013,1745.31
Banke,Mid-West Terai,2014,1856.99
Banke,Mid-West Terai,2015,1815.11
Banke,Mid-West Terai,2016,1786.75
Banke,Mid-West Terai,2017,1813.92
Banke,Mid-West Terai,2018,1840.25
Banke,Mid-West Terai,2019,1782.18
Banke,Mid-West Terai,2020,1739.29
Banke,Mid-West Terai,2021,1707.84
Banke,Mid-West Terai,2022,1816.13
Banke,Mid-West Terai,2023,1826.36
Bara,Madhesh Terai,2005,1850.28
Bara,Madhesh Terai,2006,1845.31
Bara,Madhesh Terai,2007,1748.53
Bara,Madhesh Terai,2008,1773.71
Bara,Madhesh Terai,2009,1861.1200000000001
Bara,Madhesh Terai,2010,1835.69
Bara,Madhesh Terai,2011,1778.8
Bara,Madhesh Terai,2012,1885.8899999999999
Bara,Madhesh Terai,2013,1779.3600000000001
Bara,Madhesh Terai,2014,1790.32
Bara,Madhesh Terai,2015,1791.85
Bara,Madhesh Terai,2016,1752.7
Bara,Madhesh Terai,2017,1771.57
Bara,Madhesh Terai,2018,1816.26
Bara,Madhesh Terai,2019,1794.61
